match_id,match_date,player_id,model_prob,pinnacle_odds,pinnacle_implied,edge,kelly_stake,bet,actual_won,pnl,surface_name,tier_name
27029,2024-09-26,711,0.4905,1.84,0.5435,-0.053,0.0,False,0,0.0,Hard,ATP 500
27031,2024-09-26,469,0.6247,1.89,0.5291,0.0956,0.053707865168539336,True,1,0.0478,Hard,ATP 500
27031,2024-09-26,505,0.3753,2.0,0.5,-0.1247,0.0,False,0,0.0,Hard,ATP 500
27032,2024-09-26,631,0.6494,1.18,0.8475,-0.1981,0.0,False,1,0.0,Hard,ATP 500
27032,2024-09-26,784,0.3506,5.62,0.1779,0.1727,0.0,False,0,0.0,Hard,ATP 500
27033,2024-09-26,629,0.7534,1.34,0.7463,0.0071,0.0,False,1,0.0,Hard,ATP 500
27033,2024-09-26,539,0.2466,3.54,0.2825,-0.0359,0.0,False,0,0.0,Hard,ATP 500
27034,2024-09-26,58,0.4013,2.46,0.4065,-0.0052,0.0,False,1,0.0,Hard,ATP 500
27034,2024-09-26,446,0.5987,1.61,0.6211,-0.0224,0.0,False,0,0.0,Hard,ATP 500
27035,2024-09-26,555,0.6495,1.41,0.7092,-0.0597,0.0,False,1,0.0,Hard,ATP 500
27035,2024-09-26,29,0.3505,3.11,0.3215,0.029,0.0,False,0,0.0,Hard,ATP 500
27036,2024-10-02,512,0.6501,1.43,0.6993,-0.0492,0.0,False,1,0.0,Hard,Masters 1000
27036,2024-10-02,32,0.3499,3.07,0.3257,0.0242,0.0,False,0,0.0,Hard,Masters 1000
27037,2024-10-02,512,0.8671,1.11,0.9009,-0.0338,0.0,False,1,0.0,Hard,Masters 1000
27037,2024-10-02,577,0.1329,8.02,0.1247,0.0082,0.0,False,0,0.0,Hard,Masters 1000
27038,2024-10-02,32,0.6716,1.44,0.6944,-0.0228,0.0,False,1,0.0,Hard,Masters 1000
27038,2024-10-02,214,0.3284,3.02,0.3311,-0.0027,0.0,False,0,0.0,Hard,Masters 1000
27039,2024-10-02,512,0.7953,1.32,0.7576,0.0377,0.0,False,1,0.0,Hard,Masters 1000
27039,2024-10-02,340,0.2047,3.73,0.2681,-0.0634,0.0,False,0,0.0,Hard,Masters 1000
27040,2024-10-02,577,0.1606,9.53,0.1049,0.0557,0.0,False,1,0.0,Hard,Masters 1000
27040,2024-10-02,543,0.8394,1.09,0.9174,-0.078,0.0,False,0,0.0,Hard,Masters 1000
27041,2024-10-02,32,0.8462,1.12,0.8929,-0.0467,0.0,False,1,0.0,Hard,Masters 1000
