surfaces,tiers,odds_min,odds_max,edge_thresh,staking,bets,win_rate,roi,clv,sharpe,total_pnl,total_staked
Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.25,0.06,quarter-Kelly,55,0.4909,28.87,12.564,1.477,0.318,1.102
Hard,Grand Slam+Masters 1000,2.25,3.25,0.06,quarter-Kelly,55,0.4909,28.87,12.564,1.477,0.318,1.102
Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.25,0.06,half-Kelly,55,0.4909,28.87,12.564,1.477,0.636,2.204
Hard,Grand Slam+Masters 1000,2.25,2.75,0.03,half-Kelly,56,0.5179,28.48,9.993,1.631,0.553,1.942
Hard,ATP 250+Grand Slam+Masters 1000,2.25,2.75,0.03,half-Kelly,56,0.5179,28.48,9.993,1.631,0.553,1.942
Hard,Grand Slam+Masters 1000,2.25,2.75,0.03,quarter-Kelly,56,0.5179,28.48,9.993,1.631,0.277,0.971
Hard,ATP 250+Grand Slam+Masters 1000,2.25,2.75,0.03,quarter-Kelly,56,0.5179,28.48,9.993,1.631,0.277,0.971
Hard,Masters 1000,2.25,3.75,0.04,half-Kelly,64,0.4688,28.39,11.219,1.48,0.617,2.173
Hard,ATP 250+Masters 1000,2.25,3.75,0.04,half-Kelly,64,0.4688,28.39,11.219,1.48,0.617,2.173
Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.04,quarter-Kelly,64,0.4688,28.39,11.219,1.48,0.308,1.086
Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.04,half-Kelly,64,0.4688,28.39,11.219,1.48,0.617,2.173
Grass+Hard,Masters 1000,2.25,3.75,0.04,quarter-Kelly,64,0.4688,28.39,11.219,1.48,0.308,1.086
Grass+Hard,Masters 1000,2.25,3.75,0.04,half-Kelly,64,0.4688,28.39,11.219,1.48,0.617,2.173
Hard,ATP 250+Masters 1000,2.25,3.75,0.04,quarter-Kelly,64,0.4688,28.39,11.219,1.48,0.308,1.086
Hard,Masters 1000,2.25,3.75,0.04,quarter-Kelly,64,0.4688,28.39,11.219,1.48,0.308,1.086
Hard,ATP 250+Masters 1000,2.25,3.75,0.03,half-Kelly,70,0.4714,28.37,10.545,1.56,0.635,2.237
Hard,Masters 1000,2.25,3.75,0.03,quarter-Kelly,70,0.4714,28.37,10.545,1.56,0.317,1.119
