match_id,match_date,winner_id,loser_id,court_speed_index,round_numeric,best_of,tier_numeric,surface_Hard,surface_Clay,surface_Grass,tier_Grand_Slam,tier_Masters_1000,tier_ATP_500,tier_ATP_250,tier_Challenger,p1_is_winner,d_elo_overall,d_elo_surface,d_atp_rank,d_surface_win_rate,d_recent_form_10,d_serve_rating,d_return_rating,serve_vs_return,d_ace_rate,d_bp_save_rate,d_days_rest,d_matches_last_14d,p1_matches_14d,p2_matches_14d,h2h_overall,h2h_surface,h2h_surface_3y,winner_won
52,2015-01-05,29,30,42.0,6,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
53,2015-01-05,28,31,42.0,6,3,3,1,0,0,0,0,1,0,0,1,16.690000000000055,16.690000000000055,-141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
53,2015-01-05,28,31,42.0,6,3,3,1,0,0,0,0,1,0,0,0,-16.690000000000055,-16.690000000000055,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
54,2015-01-05,29,28,42.0,7,3,3,1,0,0,0,0,1,0,0,1,-15.730000000000018,-15.730000000000018,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
54,2015-01-05,29,28,42.0,7,3,3,1,0,0,0,0,1,0,0,0,15.730000000000018,15.730000000000018,-152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
55,2015-01-05,32,99,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
55,2015-01-05,32,99,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
56,2015-01-05,33,826,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,1443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
56,2015-01-05,33,826,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-1443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
57,2015-01-05,34,107,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
57,2015-01-05,34,107,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
58,2015-01-05,35,81,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
58,2015-01-05,35,81,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
59,2015-01-05,36,117,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
