match_id,match_date,winner_id,loser_id,game_diff,total_games,best_of,d_elo_surface,elo_win_prob,court_speed_index,tier_numeric,surface_Hard,surface_Clay,surface_Grass,p1_hold_surface,p2_hold_surface,d_hold_surface,p1_ace_rate,p2_ace_rate,d_ace_rate,p1_first_serve_pct,p2_first_serve_pct,d_first_serve_pct,p1_avg_games_surface,p2_avg_games_surface,p1_fatigue_games_7d,p2_fatigue_games_7d,d_fatigue_games_7d
42,2015-01-05,30,20,5,29,3,-20.0,0.4712494361077314,42.0,2,1,0,0,0.9,0.7692307692307692,0.13076923076923086,7.0,4.0,3.0,50.0,60.53,-10.530000000000001,20.0,27.0,20,27,-7
41,2015-01-05,19,18,5,19,3,0.0,0.5,42.0,2,1,0,0,0.9333333333333333,0.8,0.1333333333333333,29.0,3.0,26.0,65.0,68.75,-3.75,33.0,29.0,33,29,4
53,2015-01-05,28,31,1,31,3,16.690000000000055,0.5240003823459153,42.0,2,1,0,0,1.0,,,11.0,,,50.63,,,22.0,,22,0,22
52,2015-01-05,29,30,5,21,3,0.0,0.5,42.0,2,1,0,0,1.0,0.8785714285714286,0.12142857142857144,4.0,9.5,-5.5,54.17,54.485,-0.3149999999999977,17.0,24.5,17,49,-32
51,2015-01-05,28,26,3,25,3,-1.150000000000091,0.4983450230083132,42.0,2,1,0,0,0.8333333333333334,0.8571428571428572,-0.023809523809523836,13.0,4.0,9.0,50.915000000000006,54.67,-3.7549999999999955,26.5,30.0,53,30,23
50,2015-01-05,31,23,3,23,3,-18.84999999999991,0.4728992551206916,42.0,2,1,0,0,0.6666666666666667,0.8,-0.1333333333333333,2.0,2.0,0.0,68.69,57.41,11.280000000000001,31.0,19.0,31,19,12
54,2015-01-05,29,28,5,19,3,-15.730000000000018,0.47737816484466145,42.0,2,1,0,0,0.9545454545454546,0.8119658119658121,0.1425796425796425,5.0,12.333333333333334,-7.333333333333334,52.78,55.49333333333334,-2.7133333333333383,19.0,26.0,38,78,-40
47,2015-01-05,28,68,4,20,3,20.0,0.5287505638922686,42.0,2,1,0,0,0.8034188034188035,,,11.0,,,57.48500000000001,,,24.25,,97,0,97
46,2015-01-05,26,27,9,27,3,0.0,0.5,42.0,2,1,0,0,0.761904761904762,1.0,-0.23809523809523803,3.5,2.0,1.5,52.675,73.08,-20.405,27.5,18.0,55,18,37
45,2015-01-05,31,25,7,17,3,-20.0,0.4712494361077314,42.0,2,1,0,0,0.7878787878787878,1.0,-0.21212121212121215,2.5,2.0,0.5,66.535,50.0,16.534999999999997,27.0,13.0,54,13,41
44,2015-01-05,23,24,4,20,3,0.0,0.5,42.0,2,1,0,0,0.8090909090909091,0.875,-0.06590909090909092,3.5,1.0,2.5,56.349999999999994,50.0,6.349999999999994,21.0,16.0,42,16,26
43,2015-01-05,22,21,3,33,3,0.0,0.5,42.0,2,1,0,0,0.675,1.0,-0.32499999999999996,4.5,4.0,0.5,55.075,58.97,-3.894999999999996,22.0,15.0,44,15,29
48,2015-01-05,29,19,5,21,3,-18.84999999999991,0.4728992551206916,42.0,2,1,0,0,0.9696969696969697,0.9666666666666667,0.00303030303030305,4.0,17.5,-13.5,57.22,59.705,-2.4849999999999994,19.0,26.0,57,52,5
100,2015-01-11,55,50,4,22,3,-42.289999999999964,0.4394385924741785,42.0,2,1,0,0,0.6666666666666667,,,5.0,,,63.46,,,19.0,,19,0,19
102,2015-01-11,19,4,-1,31,3,21.15000000000009,0.5303997550175384,42.0,2,1,0,0,0.8777777777777778,0.9666666666666667,-0.0888888888888889,12.0,8.0,4.0,57.64333333333334,67.74,-10.096666666666657,24.333333333333332,26.0,73,52,21
103,2015-01-11,11,80,5,19,3,56.690000000000055,0.5808670850429934,42.0,2,1,0,0,0.8055555555555555,0.8571428571428572,-0.05158730158730174,7.666666666666667,7.0,0.666666666666667,63.620000000000005,72.22,-8.599999999999994,20.333333333333332,30.0,61,30,31
104,2015-01-11,53,54,4,28,3,19.939999999999827,0.5286645015933026,42.0,2,1,0,0,,0.7,,,1.0,,,75.0,,,21.0,0,21,-21
105,2015-01-11,41,30,6,18,3,-3.380000000000109,0.49513594243844306,42.0,2,1,0,0,0.7045454545454546,0.8190476190476191,-0.11450216450216455,6.5,7.333333333333333,-0.833333333333333,70.33500000000001,54.68,15.655000000000008,19.5,23.333333333333332,39,70,-31
106,2015-01-11,9,48,2,26,3,-0.959999999999809,0.4986184524601177,42.0,2,1,0,0,0.8222222222222222,,,2.0,,,62.965,,,24.5,,49,0,49
109,2015-01-11,53,41,2,30,3,0.900000000000091,0.5012952012177845,42.0,2,1,0,0,0.7857142857142857,0.8030303030303031,-0.017316017316017396,13.0,6.0,7.0,58.23,68.32000000000001,-10.09000000000001,28.0,19.0,28,57,-29
108,2015-01-11,19,11,2,26,3,4.25,0.5061159366063402,42.0,2,1,0,0,0.875,0.8541666666666666,0.02083333333333337,12.75,7.75,5.0,59.30500000000001,64.38250000000001,-5.077500000000001,26.0,20.0,104,80,24
110,2015-01-11,9,52,4,20,3,17.88000000000011,0.5257086966339032,42.0,2,1,0,0,0.8814814814814814,1.0,-0.11851851851851858,2.3333333333333335,12.0,-9.666666666666666,62.916666666666664,59.23,3.6866666666666674,25.0,38.0,75,38,37
111,2015-01-11,53,19,6,18,3,-17.569999999999936,0.4747362700791338,42.0,2,1,0,0,0.8261904761904761,0.9,-0.07380952380952388,14.5,15.2,-0.6999999999999993,62.64999999999999,63.348,-0.6980000000000075,29.0,26.0,58,130,-72
112,2015-01-11,53,9,7,17,3,3.980000000000018,0.5057274298931278,42.0,2,1,0,0,0.8841269841269841,0.9111111111111111,-0.026984126984127,14.0,2.75,11.25,62.919999999999995,57.855000000000004,5.064999999999991,25.333333333333332,23.75,76,95,-19
107,2015-01-11,52,55,4,22,3,18.730000000000018,0.5269285551210413,42.0,2,1,0,0,0.9,0.8333333333333334,0.06666666666666665,10.0,5.0,5.0,62.010000000000005,65.6,-3.589999999999989,29.0,20.5,58,41,17
99,2015-01-11,9,49,4,24,3,-2.230000000000018,0.49679081609564874,42.0,2,1,0,0,0.8288888888888888,,,2.4,,,57.656000000000006,,,22.4,,112,0,112
101,2015-01-11,52,51,4,30,3,-20.0,0.4712494361077314,42.0,2,1,0,0,0.9333333333333332,,,10.666666666666666,,,64.34333333333335,,,26.666666666666668,,80,0,80
97,2015-01-11,41,86,7,17,3,20.0,0.5287505638922686,42.0,2,1,0,0,0.8022727272727272,0.9375,-0.13522727272727275,5.0,10.0,-5.0,68.82500000000002,64.15,4.675000000000011,21.75,33.0,87,33,54
87,2015-01-11,9,94,4,22,3,18.84999999999991,0.5271007448793085,42.0,2,1,0,0,0.8435185185185184,0.625,0.21851851851851845,3.1666666666666665,0.0,3.1666666666666665,57.81666666666667,57.45,0.36666666666666714,22.666666666666668,17.0,136,17,119
88,2015-01-11,49,120,3,23,3,0.0,0.5,42.0,2,1,0,0,0.75,,,6.0,,,58.54,,,24.0,,24,0,24
89,2015-01-11,50,44,4,22,3,-40.0,0.44268836623770724,42.0,2,1,0,0,0.9,0.7991792929292929,0.10082070707070712,4.0,4.25,-0.25,57.53,59.872499999999995,-2.342499999999994,22.0,24.25,22,97,-75
90,2015-01-11,51,92,5,33,3,0.0,0.5,42.0,2,1,0,0,0.8571428571428572,,,9.0,,,65.91,,,30.0,,30,0,30
91,2015-01-11,52,70,5,21,3,0.0,0.5,42.0,2,1,0,0,0.9333333333333333,0.8,0.1333333333333333,11.25,7.0,4.25,62.71750000000001,63.75,-1.0324999999999918,27.5,22.0,110,22,88
86,2015-01-11,48,33,4,22,3,0.0,0.5,42.0,2,1,0,0,1.0,0.7142857142857143,0.2857142857142857,13.0,5.0,8.0,72.22,60.74,11.479999999999997,26.0,14.5,26,29,-3
