match_id,match_date,winner_id,loser_id,court_speed_index,round_numeric,best_of,tier_numeric,surface_Hard,surface_Clay,surface_Grass,tier_Grand_Slam,tier_Masters_1000,tier_ATP_500,tier_ATP_250,tier_Challenger,d_elo_overall,d_elo_surface,d_atp_rank,d_surface_win_rate,d_recent_form_10,d_serve_rating,d_return_rating,serve_vs_return,d_ace_rate,d_bp_save_rate,d_days_rest,d_matches_last_14d,p1_matches_14d,p2_matches_14d,h2h_overall,h2h_surface,h2h_surface_3y,h2h_last5_weighted,elo_mkt_gap,d_serve_style_csi,p1_fatigue_games_7d,p2_fatigue_games_7d,d_fatigue_games_7d,p1_surface_transition,p2_surface_transition,d_surface_transition,serve_hold_matchup,p1_form_regression,p2_form_regression,tournament_proximity,total_games,game_diff,p1_is_winner,winner_won
7,2015-01-04,7,64,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,36,-36,52.0,0.0,52.0,,0.0,0.4712494361077314,0,23,3.0,0,0
2,2015-01-04,2,115,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,32,0,32,0.0,52.0,-52.0,,0.4712494361077314,0.0,0,27,5.0,1,1
2,2015-01-04,2,115,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,32,-32,52.0,0.0,52.0,,0.0,0.4712494361077314,0,27,5.0,0,0
9,2015-01-04,9,72,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,19,0,19,0.0,52.0,-52.0,,0.5,0.0,0,30,2.0,1,1
9,2015-01-04,9,72,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,19,-19,52.0,0.0,52.0,,0.0,0.5,0,30,2.0,0,0
10,2015-01-04,10,55,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,20,0,20,0.0,52.0,-52.0,,0.4712494361077314,0.0,0,19,5.0,1,1
10,2015-01-04,10,55,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,20,-20,52.0,0.0,52.0,,0.0,0.4712494361077314,0,19,5.0,0,0
11,2015-01-04,11,114,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,2,2,0,0.5,0.5,0.5,0.5,,,36,0,36,0.0,52.0,-52.0,,-0.02957524017699753,0.0,0,25,3.0,1,1
11,2015-01-04,11,114,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-2,0,2,0.5,0.5,0.5,0.5,,,0,36,-36,52.0,0.0,52.0,,0.0,-0.02957524017699753,0,25,3.0,0,0
12,2015-01-04,12,86,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,22,0,22,0.0,52.0,-52.0,,0.5,0.0,0,33,-1.0,1,1
